Entry number,Entry ID,Source,Street field,Authoritative locality field(s),Lookup street,Lookup locality,Lookup key,Duplicate lookup reused,Original collector category,Original collector status,Review category,Status,Hydrants pill,Reviewed resolution,Resolution confidence,Approximate vicinity anchor,Anchor key,Query attempted,Matched official address,Method used,Score,Latitude,Longitude,Manual override,Notes / unresolved reason,Secondary evidence,Fallback address when grey
155,CORO STREETS-26,CORO STREETS,CULLIN GROVE,FLAGSTAFF HILL,CULLIN GROVE,FLAGSTAFF HILL,CULLIN GROVE|FLAGSTAFF HILL,No,Failed,Failed,Secondary-assisted official correction,Reviewed resolution,Active,Yes,High,No,,"CULLIN GROVE, FLAGSTAFF HILL SA","18 CUILLIN GROVE, FLAGSTAFF HILL, SOUTH AUSTRALIA, 5159",Reviewed street-only,97.76,-35.05511666050613,138.61321929844507,No,"Reviewed spelling, street type or adjoining official locality; selected the lowest numbered matching official SAGAF_PLUS candidate for CUILLIN GROVE, FLAGSTAFF HILL.",,
156,BLACKWOOD MAIN-107,BLACKWOOD MAIN,CUMMING STREET,BLACKWOOD,CUMMING STREET,BLACKWOOD,CUMMING STREET|BLACKWOOD,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"CUMMING STREET, BLACKWOOD SA","64 CUMMING STREET, BLACKWOOD, SOUTH AUSTRALIA, 5051",Reviewed street-only,100,-35.032470072192645,138.61254884316418,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
158,BLACKWOOD MAIN-108,BLACKWOOD MAIN,CUNARD DRIVE,HAWTHORNDENE,CUNARD DRIVE,HAWTHORNDENE,CUNARD DRIVE|HAWTHORNDENE,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"CUNARD DRIVE, HAWTHORNDENE SA","9 CUNARD DRIVE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051",Reviewed street-only,100,-35.02152612159825,138.6373871745174,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
159,BLACKWOOD MAIN-109,BLACKWOOD MAIN,CURRAWONG AVENUE,GLENALTA,CURRAWONG AVENUE,GLENALTA,CURRAWONG AVENUE|GLENALTA,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"CURRAWONG AVENUE, GLENALTA SA","3 CURRAWONG AVENUE, GLENALTA, SOUTH AUSTRALIA, 5052",Reviewed street-only,100,-35.01181012345913,138.63260717880163,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
160,CORO STREETS-27,CORO STREETS,CURRAWONG CRESCENT,CORMANDEL VALLEY,CURRAWONG CRESCENT,CORMANDEL VALLEY,CURRAWONG CRESCENT|CORMANDEL VALLEY,No,Failed,Failed,Secondary-assisted official correction,Reviewed resolution,Active,Yes,High,No,,"1 CURRAWONG CRESCENT, CORMANDEL VALLEY SA","1 CURRAWONG CRESCENT, COROMANDEL VALLEY, SOUTH AUSTRALIA, 5051",Reviewed No. 1,55,-35.04408910312424,138.6286513325463,No,"Reviewed spelling, street type or adjoining official locality; selected the lowest numbered matching official SAGAF_PLUS candidate for CURRAWONG CRESCENT, COROMANDEL VALLEY.",,
162,CORO STREETS-28,CORO STREETS,DAINA COURT,CORMANDEL VALLEY,DAINA COURT,CORMANDEL VALLEY,DAINA COURT|CORMANDEL VALLEY,No,Failed,Failed,Secondary-assisted official correction,Reviewed resolution,Active,Yes,High,No,,"2 DAINA COURT, CORMANDEL VALLEY SA","2 DAINA COURT, COROMANDEL VALLEY, SOUTH AUSTRALIA, 5051",Reviewed No. 2,55,-35.03657196349585,138.6262112595593,No,"Reviewed spelling, street type or adjoining official locality; selected the lowest numbered matching official SAGAF_PLUS candidate for DAINA COURT, COROMANDEL VALLEY.",,
163,BLACKWOOD PARK-18,BLACKWOOD PARK,DAIRY COURT,CRAIGBURN PARK,DAIRY COURT,CRAIGBURN PARK,DAIRY COURT|CRAIGBURN PARK,No,Failed,Failed,Secondary-assisted official correction,Reviewed resolution,Active,Yes,High,No,,"1 DAIRY COURT, CRAIGBURN PARK SA","1 DAIRY COURT, CRAIGBURN FARM, SOUTH AUSTRALIA, 5051",Reviewed No. 1,55,-35.04219798874614,138.6132159185962,No,"Reviewed spelling, street type or adjoining official locality; selected the lowest numbered matching official SAGAF_PLUS candidate for DAIRY COURT, CRAIGBURN FARM.",,
166,CORO STREETS-29,CORO STREETS,DAVID STREET,CORMANDEL VALLEY,DAVID STREET,CORMANDEL VALLEY,DAVID STREET|CORMANDEL VALLEY,No,Failed,Failed,Secondary-assisted official correction,Reviewed resolution,Active,Yes,High,No,,"1 DAVID STREET, CORMANDEL VALLEY SA","1 DAVID STREET, COROMANDEL VALLEY, SOUTH AUSTRALIA, 5051",Reviewed No. 1,55,-35.051619762148064,138.6132474045566,No,"Reviewed spelling, street type or adjoining official locality; selected the lowest numbered matching official SAGAF_PLUS candidate for DAVID STREET, COROMANDEL VALLEY.",,
167,BLACKWOOD PARK-19,BLACKWOOD PARK,DAWBINEY AVENUE,CRAIGBURN PARK,DAWBINEY AVENUE,CRAIGBURN PARK,DAWBINEY AVENUE|CRAIGBURN PARK,No,Failed,Failed,Secondary-assisted official correction,Reviewed resolution,Active,Yes,High,No,,"1 DAWBINEY AVENUE, CRAIGBURN PARK SA","1 DAWBINEY AVENUE, CRAIGBURN FARM, SOUTH AUSTRALIA, 5051",Reviewed No. 1,55,-35.038810668645745,138.6140089378698,No,"Reviewed spelling, street type or adjoining official locality; selected the lowest numbered matching official SAGAF_PLUS candidate for DAWBINEY AVENUE, CRAIGBURN FARM.",,
171,BLACKWOOD MAIN-116,BLACKWOOD MAIN,DEPINDO ROAD,EDEN HILLS,DEPINDO ROAD,EDEN HILLS,DEPINDO ROAD|EDEN HILLS,No,Failed,Failed,Secondary-assisted official correction,Reviewed resolution,Active,Yes,High,No,,"1 DEPINDO ROAD, EDEN HILLS SA","1 DEPINDO AVENUE, EDEN HILLS, SOUTH AUSTRALIA, 5050",Reviewed No. 1,89.24,-35.0184815893265,138.58204143795942,No,"Reviewed spelling, street type or adjoining official locality; selected the lowest numbered matching official SAGAF_PLUS candidate for DEPINDO AVENUE, EDEN HILLS.",,
172,CORO STREETS-30,CORO STREETS,DEVON DRIVE,CORMANDEL VALLEY,DEVON DRIVE,CORMANDEL VALLEY,DEVON DRIVE|CORMANDEL VALLEY,No,Failed,Failed,Secondary-assisted official correction,Reviewed resolution,Active,Yes,High,No,,"1 DEVON DRIVE, CORMANDEL VALLEY SA","1 DEVON DRIVE, COROMANDEL VALLEY, SOUTH AUSTRALIA, 5051",Reviewed No. 1,55,-35.03101300156232,138.6237222677073,No,"Reviewed spelling, street type or adjoining official locality; selected the lowest numbered matching official SAGAF_PLUS candidate for DEVON DRIVE, COROMANDEL VALLEY.",,
175,BLACKWOOD MAIN-119,BLACKWOOD MAIN,DIANELLA COURT,PASADENA,DIANELLA COURT,PASADENA,DIANELLA COURT|PASADENA,No,Failed,Failed,Secondary-assisted official correction,Reviewed resolution,Active,Yes,High,No,,"2 DIANELLA COURT, PASADENA SA","2 DIANNELLA COURT, PASADENA, SOUTH AUSTRALIA, 5042",Reviewed No. 2,98.92,-35.01149775427016,138.58704432581285,No,"Reviewed spelling, street type or adjoining official locality; selected the lowest numbered matching official SAGAF_PLUS candidate for DIANNELLA COURT, PASADENA.",,
176,CORO STREETS-31,CORO STREETS,DIOSMA DRIVE,CORMANDEL VALLEY,DIOSMA DRIVE,CORMANDEL VALLEY,DIOSMA DRIVE|CORMANDEL VALLEY,No,Failed,Failed,Secondary-assisted official correction,Reviewed resolution,Active,Yes,High,No,,"1 DIOSMA DRIVE, CORMANDEL VALLEY SA","1 DIOSMA DRIVE, COROMANDEL VALLEY, SOUTH AUSTRALIA, 5051",Reviewed No. 1,55,-35.039474008455336,138.61961201572532,No,"Reviewed spelling, street type or adjoining official locality; selected the lowest numbered matching official SAGAF_PLUS candidate for DIOSMA DRIVE, COROMANDEL VALLEY.",,
179,BLACKWOOD MAIN-122,BLACKWOOD MAIN,DORHAM ROAD,BLACKWOOD,DORHAM ROAD,BLACKWOOD,DORHAM ROAD|BLACKWOOD,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"DORHAM ROAD, BLACKWOOD SA","10 DORHAM ROAD, BLACKWOOD, SOUTH AUSTRALIA, 5051",Reviewed street-only,100,-35.02644593632452,138.62287019002213,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
180,BLACKWOOD PARK-20,BLACKWOOD PARK,DOROTHY LANE,CRAIGBURN FARM,DOROTHY LANE,CRAIGBURN FARM,DOROTHY LANE|CRAIGBURN FARM,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"DOROTHY LANE, CRAIGBURN FARM SA","6 DOROTHY LANE, CRAIGBURN FARM, SOUTH AUSTRALIA, 5051",Reviewed street-only,100,-35.04727309863299,138.6089114142484,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
181,CORO EAST & CHERRY-8,CORO EAST & CHERRY,DORSET VALE ROAD,CHERRY GARDENS · DORSET VALE,,,,No,Ambiguous,Ambiguous authoritative locality fields,Reviewed multi-locality vicinity anchor,Reviewed resolution,Active,Yes,Moderate,Yes,CHERRY GARDENS ROAD|CHERRY GARDENS,"CHERRY GARDENS ROAD, CHERRY GARDENS SA","11 CHERRY GARDENS ROAD, CHERRY GARDENS, SOUTH AUSTRALIA, 5157",Reviewed Directions route vicinity anchor,100,-35.07102578695614,138.62775175909036,No,The Directions entry spans multiple locality fields. A reviewed official approach point (CHERRY GARDENS ROAD|CHERRY GARDENS) was selected without merging it with other same-name street records.,,
184,CORO STREETS-32,CORO STREETS,DRISCOLL ROAD,CORMANDEL VALLEY/EAST,DRISCOLL ROAD,CORMANDEL VALLEY/EAST,DRISCOLL ROAD|CORMANDEL VALLEY EAST,No,Failed,Failed,Secondary-assisted official correction,Reviewed resolution,Active,Yes,High,No,,"2 DRISCOLL ROAD, CORMANDEL VALLEY/EAST SA","2 DRISCOLL ROAD, COROMANDEL VALLEY, SOUTH AUSTRALIA, 5051",Reviewed No. 2,55,-35.03853974707693,138.6294384815561,No,"Reviewed spelling, street type or adjoining official locality; selected the lowest numbered matching official SAGAF_PLUS candidate for DRISCOLL ROAD, COROMANDEL VALLEY.",,
185,BLACKWOOD MAIN-125,BLACKWOOD MAIN,DRYANDRA DRIVE,BELAIR,DRYANDRA DRIVE,BELAIR,DRYANDRA DRIVE|BELAIR,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"DRYANDRA DRIVE, BELAIR SA","3 DRYANDRA DRIVE, BELAIR, SOUTH AUSTRALIA, 5052",Reviewed street-only,100,-35.01090129989056,138.60607838936028,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
187,BLACKWOOD MAIN-126,BLACKWOOD MAIN,DUNN AVENUE,GLENALTA,DUNN AVENUE,GLENALTA,DUNN AVENUE|GLENALTA,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"DUNN AVENUE, GLENALTA SA","13 DUNN AVENUE, GLENALTA, SOUTH AUSTRALIA, 5052",Reviewed street-only,100,-35.00837174985231,138.6261838649949,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
189,BLACKWOOD MAIN-127,BLACKWOOD MAIN,EAGLE ROAD,EAGLE ON THE HILL · LEAWOOD GARDENS,,,,No,Ambiguous,Ambiguous authoritative locality fields,Reviewed multi-locality vicinity anchor,Reviewed resolution,Active,Yes,Moderate,Yes,JAMES ROAD|BELAIR,"2 JAMES ROAD, BELAIR SA","2 JAMES ROAD, BELAIR, SOUTH AUSTRALIA, 5052",Reviewed Directions route vicinity anchor,100,-34.99664545319125,138.6307084152919,No,The Directions entry spans multiple locality fields. A reviewed official approach point (JAMES ROAD|BELAIR) was selected without merging it with other same-name street records.,,
193,BLACKWOOD MAIN-130,BLACKWOOD MAIN,EDEN ROAD,EDEN HILLS,EDEN ROAD,EDEN HILLS,EDEN ROAD|EDEN HILLS,No,Failed,Failed,Reviewed vicinity anchor,Reviewed resolution,Active,Yes,Moderate,Yes,MOUNTAIN ROAD|EDEN HILLS,"1 MOUNTAIN ROAD, EDEN HILLS SA","1 MOUNTAIN ROAD, EDEN HILLS, SOUTH AUSTRALIA, 5050",Reviewed Directions route vicinity anchor,100,-35.02084944028001,138.6056550188194,No,Directions place Eden Road as the second right from Mountain Road.,,
195,BLACKWOOD MAIN-132,BLACKWOOD MAIN,EDGECUMBE PARADE,BLACKWOOD · HAWTHORNDENE,,,,No,Ambiguous,Ambiguous authoritative locality fields,Reviewed multi-locality vicinity anchor,Reviewed resolution,Active,Yes,Moderate,Yes,HEWITT AVENUE|HAWTHORNDENE,"1 HEWITT AVENUE, HAWTHORNDENE SA","1 HEWETT AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051",Reviewed Directions route vicinity anchor,98.46,-35.02237766562309,138.62192596698395,No,The Directions entry spans multiple locality fields. A reviewed official approach point (HEWITT AVENUE|HAWTHORNDENE) was selected without merging it with other same-name street records.,,
196,CORO EAST & CHERRY-9,CORO EAST & CHERRY,EDIALTA ROAD,CHERRY GARDENS,EDIALTA ROAD,CHERRY GARDENS,EDIALTA ROAD|CHERRY GARDENS,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"EDIALTA ROAD, CHERRY GARDENS SA","76 EDIALTA ROAD, CHERRY GARDENS, SOUTH AUSTRALIA, 5157",Reviewed street-only,100,-35.054681905211226,138.6719712111024,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
203,BLACKWOOD MAIN-139,BLACKWOOD MAIN,EMMETT ROAD,BROWNHILL CREEK · CRAFERS WEST,,,,No,Ambiguous,Ambiguous authoritative locality fields,Reviewed multi-locality vicinity anchor,Reviewed resolution,Active,Yes,Moderate,Yes,UPPER STURT ROAD|BELAIR,"2 UPPER STURT ROAD, BELAIR SA","2 UPPER STURT ROAD, BELAIR, SOUTH AUSTRALIA, 5052",Reviewed Directions route vicinity anchor,100,-34.998930586791175,138.63197212299033,No,The Directions entry spans multiple locality fields. A reviewed official approach point (UPPER STURT ROAD|BELAIR) was selected without merging it with other same-name street records.,,
210,CORO STREETS-34,CORO STREETS,EWERS AVENUE,CORMANDEL VALLEY,EWERS AVENUE,CORMANDEL VALLEY,EWERS AVENUE|CORMANDEL VALLEY,No,Failed,Failed,Secondary-assisted official correction,Reviewed resolution,Active,Yes,High,No,,"2 EWERS AVENUE, CORMANDEL VALLEY SA","2 EWERS AVENUE, COROMANDEL VALLEY, SOUTH AUSTRALIA, 5051",Reviewed No. 2,55,-35.036922578342924,138.62063041755155,No,"Reviewed spelling, street type or adjoining official locality; selected the lowest numbered matching official SAGAF_PLUS candidate for EWERS AVENUE, COROMANDEL VALLEY.",,
218,BLACKWOOD MAIN-151,BLACKWOOD MAIN,FIVEASH DRIVE,PASADENA,FIVEASH DRIVE,PASADENA,FIVEASH DRIVE|PASADENA,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"FIVEASH DRIVE, PASADENA SA","65 FIVEASH DRIVE, PASADENA, SOUTH AUSTRALIA, 5042",Reviewed street-only,100,-35.00737736274164,138.58763348683442,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
219,CORO STREETS-35,CORO STREETS,FLAMINGO CRESCENT,CORMANDEL VALLEY,FLAMINGO CRESCENT,CORMANDEL VALLEY,FLAMINGO CRESCENT|CORMANDEL VALLEY,No,Failed,Failed,Reviewed vicinity anchor,Reviewed resolution,Active,Yes,Moderate,Yes,CRANE AVENUE|CORMANDEL VALLEY,"2 CRANE AVENUE, CORMANDEL VALLEY SA","2 CRANE AVENUE, COROMANDEL VALLEY, SOUTH AUSTRALIA, 5051",Reviewed Directions route vicinity anchor,55,-35.043344291168545,138.62598854530842,No,Directions place Flamingo Crescent as the third right from Crane Avenue.,,
221,BLACKWOOD MAIN-153,BLACKWOOD MAIN,FOOTS HILL ROAD,HAWTHORNDENE,FOOTS HILL ROAD,HAWTHORNDENE,FOOTS HILL ROAD|HAWTHORNDENE,No,Failed,Failed,Secondary-assisted official correction,Reviewed resolution,Active,Yes,High,No,,"1 FOOTS HILL ROAD, HAWTHORNDENE SA","1 FOOTTS HILL ROAD, HAWTHORNDENE, SOUTH AUSTRALIA, 5051",Reviewed No. 1,99.1,-35.018514498381144,138.6477864357858,No,"Reviewed spelling, street type or adjoining official locality; selected the lowest numbered matching official SAGAF_PLUS candidate for FOOTTS HILL ROAD, HAWTHORNDENE.",,
222,CORO EAST & CHERRY-10,CORO EAST & CHERRY,FOOTT LANE,COROMANDEL EAST,FOOTT LANE,COROMANDEL EAST,FOOTT LANE|COROMANDEL EAST,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"FOOTT LANE, COROMANDEL EAST SA","6 FOOTT LANE, COROMANDEL EAST, SOUTH AUSTRALIA, 5157",Reviewed street-only,100,-35.049297272323926,138.64218104540214,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
224,BLACKWOOD MAIN-155,BLACKWOOD MAIN,FOREST AVENUE,HAWTHORNDENE,FOREST AVENUE,HAWTHORNDENE,FOREST AVENUE|HAWTHORNDENE,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"FOREST AVENUE, HAWTHORNDENE SA","3 FOREST AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051",Reviewed street-only,100,-35.01920380966091,138.62410543583547,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
226,BLACKWOOD MAIN-157,BLACKWOOD MAIN,FRANCIS STREET,BELAIR,FRANCIS STREET,BELAIR,FRANCIS STREET|BELAIR,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"FRANCIS STREET, BELAIR SA","LOT 1 FRANCIS STREET, BELAIR, SOUTH AUSTRALIA, 5052",Reviewed street-only,100,-34.994556350824915,138.63467671362196,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
227,CORO EAST & CHERRY-11,CORO EAST & CHERRY,FRITH ROAD,CHERRY GARDENS,FRITH ROAD,CHERRY GARDENS,FRITH ROAD|CHERRY GARDENS,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"FRITH ROAD, CHERRY GARDENS SA","LOT 10 FRITH ROAD, CHERRY GARDENS, SOUTH AUSTRALIA, 5157",Reviewed street-only,100,-35.08285863779957,138.6592761430271,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
228,BLACKWOOD MAIN-158,BLACKWOOD MAIN,FULLARTON ROAD,MITCHAM,FULLARTON ROAD,MITCHAM,FULLARTON ROAD|MITCHAM,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"FULLARTON ROAD, MITCHAM SA","553 FULLARTON ROAD, MITCHAM, SOUTH AUSTRALIA, 5062",Reviewed street-only,100,-34.97541840139712,138.62688135906663,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
233,BLACKWOOD MAIN-163,BLACKWOOD MAIN,GARNET AVENUE,BLACKWOOD,GARNET AVENUE,BLACKWOOD,GARNET AVENUE|BLACKWOOD,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"GARNET AVENUE, BLACKWOOD SA","49 GARNET AVENUE, BLACKWOOD, SOUTH AUSTRALIA, 5051",Reviewed street-only,100,-35.03033062786706,138.6120109135358,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
235,BLACKWOOD PARK-26,BLACKWOOD PARK,GARTRELL LANE,CRAIGBURN FARM,GARTRELL LANE,CRAIGBURN FARM,GARTRELL LANE|CRAIGBURN FARM,No,Failed,Failed,Secondary-assisted official correction,Reviewed resolution,Active,Yes,High,No,,"1 GARTRELL LANE, CRAIGBURN FARM SA","1 GARTRELL BOULEVARD, CRAIGBURN FARM, SOUTH AUSTRALIA, 5051",Reviewed No. 1,89.24,-35.03874751883815,138.60957902334079,No,"Reviewed spelling, street type or adjoining official locality; selected the lowest numbered matching official SAGAF_PLUS candidate for GARTRELL BOULEVARD, CRAIGBURN FARM.",,
237,BLACKWOOD MAIN-165,BLACKWOOD MAIN,GLADSTONE ROAD,BLACKWOOD,GLADSTONE ROAD,BLACKWOOD,GLADSTONE ROAD|BLACKWOOD,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"GLADSTONE ROAD, BLACKWOOD SA","4 GLADSTONE ROAD, BLACKWOOD, SOUTH AUSTRALIA, 5051",Reviewed street-only,100,-35.022181634389455,138.61532174232005,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
244,BLACKWOOD MAIN-171,BLACKWOOD MAIN,GLENGARRY AVENUE,GLENALTA,GLENGARRY AVENUE,GLENALTA,GLENGARRY AVENUE|GLENALTA,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"GLENGARRY AVENUE, GLENALTA SA","14 GLENGARRY AVENUE, GLENALTA, SOUTH AUSTRALIA, 5052",Reviewed street-only,100,-35.008908612160006,138.62489383005274,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
246,BLACKWOOD MAIN-173,BLACKWOOD MAIN,GLENGYLE AVENUE,BLACKWOOD,GLENGYLE AVENUE,BLACKWOOD,GLENGYLE AVENUE|BLACKWOOD,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"GLENGYLE AVENUE, BLACKWOOD SA","26A GLENGYLE AVENUE, BLACKWOOD, SOUTH AUSTRALIA, 5051",Reviewed street-only,100,-35.01347496585068,138.61379600739193,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
248,BLACKWOOD MAIN-175,BLACKWOOD MAIN,GLOUCESTER AVENUE,BELAIR · BLACKWOOD,,,,No,Ambiguous,Ambiguous authoritative locality fields,Reviewed multi-locality vicinity anchor,Reviewed resolution,Active,Yes,Moderate,Yes,UPPER STURT ROAD|BELAIR,"2 UPPER STURT ROAD, BELAIR SA","2 UPPER STURT ROAD, BELAIR, SOUTH AUSTRALIA, 5052",Reviewed Directions route vicinity anchor,100,-34.998930586791175,138.63197212299033,No,The Directions entry spans multiple locality fields. A reviewed official approach point (UPPER STURT ROAD|BELAIR) was selected without merging it with other same-name street records.,,
252,BLACKWOOD MAIN-178,BLACKWOOD MAIN,GOOCH ROAD,BELAIR NATIONAL PARK,GOOCH ROAD,BELAIR NATIONAL PARK,GOOCH ROAD|BELAIR NATIONAL PARK,No,Failed,Failed,Reviewed vicinity anchor,Reviewed resolution,Active,Yes,Moderate,Yes,UPPER STURT ROAD|BELAIR,"2 UPPER STURT ROAD, BELAIR SA","2 UPPER STURT ROAD, BELAIR, SOUTH AUSTRALIA, 5052",Reviewed Directions route vicinity anchor,100,-34.998930586791175,138.63197212299033,No,Directions identify Gooch Road as the Belair National Park entrance from Upper Sturt Road.,,
261,BLACKWOOD MAIN-184,BLACKWOOD MAIN,GRASKE GROVE,EDEN HILLS,GRASKE GROVE,EDEN HILLS,GRASKE GROVE|EDEN HILLS,No,Failed,Failed,Reviewed vicinity anchor,Reviewed resolution,Active,Yes,Moderate,Yes,PASADENA CRESCENT|PASADENA,"1 PASADENA CRESCENT, PASADENA SA","1 PASADENA CRESCENT, PASADENA, SOUTH AUSTRALIA, 5042",Reviewed Directions route vicinity anchor,100,-35.01116065881851,138.58586084505305,No,Directions place Graske Grove directly from Pasadena Crescent.,,
263,CORO STREETS-39,CORO STREETS,GRASSMERE CLOSE,COROMANDLE VALLEY,GRASSMERE CLOSE,COROMANDLE VALLEY,GRASSMERE CLOSE|COROMANDLE VALLEY,No,Failed,Failed,Secondary-assisted official correction,Reviewed resolution,Active,Yes,High,No,,"2 GRASSMERE CLOSE, COROMANDLE VALLEY SA","2 GRASSMERE CLOSE, COROMANDEL VALLEY, SOUTH AUSTRALIA, 5051",Reviewed No. 2,55,-35.05689979760761,138.61909525462397,No,"Reviewed spelling, street type or adjoining official locality; selected the lowest numbered matching official SAGAF_PLUS candidate for GRASSMERE CLOSE, COROMANDEL VALLEY.",,
264,BLACKWOOD MAIN-185,BLACKWOOD MAIN,GRATTON STREET,BELAIR · BLACKWOOD,,,,No,Ambiguous,Ambiguous authoritative locality fields,Reviewed multi-locality vicinity anchor,Reviewed resolution,Active,Yes,Moderate,Yes,CEDAR AVENUE|BLACKWOOD,"1 CEDAR AVENUE, BLACKWOOD SA","1 CEDAR AVENUE, BLACKWOOD, SOUTH AUSTRALIA, 5051",Reviewed Directions route vicinity anchor,100,-35.01012286733308,138.6190940094165,No,The Directions entry spans multiple locality fields. A reviewed official approach point (CEDAR AVENUE|BLACKWOOD) was selected without merging it with other same-name street records.,,
270,BLACKWOOD MAIN-189,BLACKWOOD MAIN,GREVILLEA WAY,BELAIR · BLACKWOOD,,,,No,Ambiguous,Ambiguous authoritative locality fields,Reviewed multi-locality vicinity anchor,Reviewed resolution,Active,Yes,Moderate,Yes,GULFVIEW ROAD|BLACKWOOD,"2 GULFVIEW ROAD, BLACKWOOD SA","2 GULFVIEW ROAD, BLACKWOOD, SOUTH AUSTRALIA, 5051",Reviewed Directions route vicinity anchor,100,-35.014752726604875,138.6171674955688,No,The Directions entry spans multiple locality fields. A reviewed official approach point (GULFVIEW ROAD|BLACKWOOD) was selected without merging it with other same-name street records.,,
273,BLACKWOOD MAIN-192,BLACKWOOD MAIN,GUM GROVE,BELAIR · BLACKWOOD,,,,No,Ambiguous,Ambiguous authoritative locality fields,Reviewed multi-locality vicinity anchor,Reviewed resolution,Active,Yes,Moderate,Yes,GULFVIEW ROAD|BLACKWOOD,"2 GULFVIEW ROAD, BLACKWOOD SA","2 GULFVIEW ROAD, BLACKWOOD, SOUTH AUSTRALIA, 5051",Reviewed Directions route vicinity anchor,100,-35.014752726604875,138.6171674955688,No,The Directions entry spans multiple locality fields. A reviewed official approach point (GULFVIEW ROAD|BLACKWOOD) was selected without merging it with other same-name street records.,,
274,BLACKWOOD MAIN-193,BLACKWOOD MAIN,GUM ROAD,HAWTHORNDENE,GUM ROAD,HAWTHORNDENE,GUM ROAD|HAWTHORNDENE,No,Failed,Failed,Reviewed vicinity anchor,Reviewed resolution,Active,Yes,Moderate,Yes,BLACKWOOD CFS|16A GORSE AVENUE HAWTHORNDENE,"16A GORSE AVENUE, HAWTHORNDENE SA","16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051",Reviewed Directions route vicinity anchor,100,-35.02315147312423,138.62864279398076,No,This Directions entry is the Blackwood CFS station itself; the official 16A Gorse Avenue station coordinate is the correct operational starting point.,https://www.homely.com.au/find-street-by-suburb/hawthorndene-mitcham-adelaide-greater-south-australia,
