Entry number,Entry ID,Source,Street field,Authoritative locality field(s),Lookup street,Lookup locality,Lookup key,Duplicate lookup reused,Original collector category,Original collector status,Review category,Status,Hydrants pill,Reviewed resolution,Resolution confidence,Approximate vicinity anchor,Anchor key,Query attempted,Matched official address,Method used,Score,Latitude,Longitude,Manual override,Notes / unresolved reason,Secondary evidence,Fallback address when grey
1,BLACKWOOD MAIN-1,BLACKWOOD MAIN,ACACIA ROAD,HAWTHORNDENE,ACACIA ROAD,HAWTHORNDENE,ACACIA ROAD|HAWTHORNDENE,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"ACACIA ROAD, HAWTHORNDENE SA","6 ACACIA ROAD, HAWTHORNDENE, SOUTH AUSTRALIA, 5051",Reviewed street-only,100,-35.01778267216052,138.62171926254342,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
175,BLACKWOOD MAIN-119,BLACKWOOD MAIN,DIANELLA COURT,PASADENA,DIANELLA COURT,PASADENA,DIANELLA COURT|PASADENA,No,Failed,Failed,Secondary-assisted official correction,Reviewed resolution,Active,Yes,High,No,,"2 DIANELLA COURT, PASADENA SA","2 DIANNELLA COURT, PASADENA, SOUTH AUSTRALIA, 5042",Reviewed No. 2,98.92,-35.01149775427016,138.58704432581285,No,"Reviewed spelling, street type or adjoining official locality; selected the lowest numbered matching official SAGAF_PLUS candidate for DIANNELLA COURT, PASADENA.",,
176,CORO STREETS-31,CORO STREETS,DIOSMA DRIVE,CORMANDEL VALLEY,DIOSMA DRIVE,CORMANDEL VALLEY,DIOSMA DRIVE|CORMANDEL VALLEY,No,Failed,Failed,Secondary-assisted official correction,Reviewed resolution,Active,Yes,High,No,,"1 DIOSMA DRIVE, CORMANDEL VALLEY SA","1 DIOSMA DRIVE, COROMANDEL VALLEY, SOUTH AUSTRALIA, 5051",Reviewed No. 1,55,-35.039474008455336,138.61961201572532,No,"Reviewed spelling, street type or adjoining official locality; selected the lowest numbered matching official SAGAF_PLUS candidate for DIOSMA DRIVE, COROMANDEL VALLEY.",,
179,BLACKWOOD MAIN-122,BLACKWOOD MAIN,DORHAM ROAD,BLACKWOOD,DORHAM ROAD,BLACKWOOD,DORHAM ROAD|BLACKWOOD,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"DORHAM ROAD, BLACKWOOD SA","10 DORHAM ROAD, BLACKWOOD, SOUTH AUSTRALIA, 5051",Reviewed street-only,100,-35.02644593632452,138.62287019002213,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
180,BLACKWOOD PARK-20,BLACKWOOD PARK,DOROTHY LANE,CRAIGBURN FARM,DOROTHY LANE,CRAIGBURN FARM,DOROTHY LANE|CRAIGBURN FARM,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"DOROTHY LANE, CRAIGBURN FARM SA","6 DOROTHY LANE, CRAIGBURN FARM, SOUTH AUSTRALIA, 5051",Reviewed street-only,100,-35.04727309863299,138.6089114142484,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
184,CORO STREETS-32,CORO STREETS,DRISCOLL ROAD,CORMANDEL VALLEY/EAST,DRISCOLL ROAD,CORMANDEL VALLEY/EAST,DRISCOLL ROAD|CORMANDEL VALLEY EAST,No,Failed,Failed,Secondary-assisted official correction,Reviewed resolution,Active,Yes,High,No,,"2 DRISCOLL ROAD, CORMANDEL VALLEY/EAST SA","2 DRISCOLL ROAD, COROMANDEL VALLEY, SOUTH AUSTRALIA, 5051",Reviewed No. 2,55,-35.03853974707693,138.6294384815561,No,"Reviewed spelling, street type or adjoining official locality; selected the lowest numbered matching official SAGAF_PLUS candidate for DRISCOLL ROAD, COROMANDEL VALLEY.",,
185,BLACKWOOD MAIN-125,BLACKWOOD MAIN,DRYANDRA DRIVE,BELAIR,DRYANDRA DRIVE,BELAIR,DRYANDRA DRIVE|BELAIR,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"DRYANDRA DRIVE, BELAIR SA","3 DRYANDRA DRIVE, BELAIR, SOUTH AUSTRALIA, 5052",Reviewed street-only,100,-35.01090129989056,138.60607838936028,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
187,BLACKWOOD MAIN-126,BLACKWOOD MAIN,DUNN AVENUE,GLENALTA,DUNN AVENUE,GLENALTA,DUNN AVENUE|GLENALTA,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"DUNN AVENUE, GLENALTA SA","13 DUNN AVENUE, GLENALTA, SOUTH AUSTRALIA, 5052",Reviewed street-only,100,-35.00837174985231,138.6261838649949,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
196,CORO EAST & CHERRY-9,CORO EAST & CHERRY,EDIALTA ROAD,CHERRY GARDENS,EDIALTA ROAD,CHERRY GARDENS,EDIALTA ROAD|CHERRY GARDENS,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"EDIALTA ROAD, CHERRY GARDENS SA","76 EDIALTA ROAD, CHERRY GARDENS, SOUTH AUSTRALIA, 5157",Reviewed street-only,100,-35.054681905211226,138.6719712111024,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
210,CORO STREETS-34,CORO STREETS,EWERS AVENUE,CORMANDEL VALLEY,EWERS AVENUE,CORMANDEL VALLEY,EWERS AVENUE|CORMANDEL VALLEY,No,Failed,Failed,Secondary-assisted official correction,Reviewed resolution,Active,Yes,High,No,,"2 EWERS AVENUE, CORMANDEL VALLEY SA","2 EWERS AVENUE, COROMANDEL VALLEY, SOUTH AUSTRALIA, 5051",Reviewed No. 2,55,-35.036922578342924,138.62063041755155,No,"Reviewed spelling, street type or adjoining official locality; selected the lowest numbered matching official SAGAF_PLUS candidate for EWERS AVENUE, COROMANDEL VALLEY.",,
218,BLACKWOOD MAIN-151,BLACKWOOD MAIN,FIVEASH DRIVE,PASADENA,FIVEASH DRIVE,PASADENA,FIVEASH DRIVE|PASADENA,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"FIVEASH DRIVE, PASADENA SA","65 FIVEASH DRIVE, PASADENA, SOUTH AUSTRALIA, 5042",Reviewed street-only,100,-35.00737736274164,138.58763348683442,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
221,BLACKWOOD MAIN-153,BLACKWOOD MAIN,FOOTS HILL ROAD,HAWTHORNDENE,FOOTS HILL ROAD,HAWTHORNDENE,FOOTS HILL ROAD|HAWTHORNDENE,No,Failed,Failed,Secondary-assisted official correction,Reviewed resolution,Active,Yes,High,No,,"1 FOOTS HILL ROAD, HAWTHORNDENE SA","1 FOOTTS HILL ROAD, HAWTHORNDENE, SOUTH AUSTRALIA, 5051",Reviewed No. 1,99.1,-35.018514498381144,138.6477864357858,No,"Reviewed spelling, street type or adjoining official locality; selected the lowest numbered matching official SAGAF_PLUS candidate for FOOTTS HILL ROAD, HAWTHORNDENE.",,
222,CORO EAST & CHERRY-10,CORO EAST & CHERRY,FOOTT LANE,COROMANDEL EAST,FOOTT LANE,COROMANDEL EAST,FOOTT LANE|COROMANDEL EAST,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"FOOTT LANE, COROMANDEL EAST SA","6 FOOTT LANE, COROMANDEL EAST, SOUTH AUSTRALIA, 5157",Reviewed street-only,100,-35.049297272323926,138.64218104540214,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
224,BLACKWOOD MAIN-155,BLACKWOOD MAIN,FOREST AVENUE,HAWTHORNDENE,FOREST AVENUE,HAWTHORNDENE,FOREST AVENUE|HAWTHORNDENE,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"FOREST AVENUE, HAWTHORNDENE SA","3 FOREST AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051",Reviewed street-only,100,-35.01920380966091,138.62410543583547,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
226,BLACKWOOD MAIN-157,BLACKWOOD MAIN,FRANCIS STREET,BELAIR,FRANCIS STREET,BELAIR,FRANCIS STREET|BELAIR,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"FRANCIS STREET, BELAIR SA","LOT 1 FRANCIS STREET, BELAIR, SOUTH AUSTRALIA, 5052",Reviewed street-only,100,-34.994556350824915,138.63467671362196,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
227,CORO EAST & CHERRY-11,CORO EAST & CHERRY,FRITH ROAD,CHERRY GARDENS,FRITH ROAD,CHERRY GARDENS,FRITH ROAD|CHERRY GARDENS,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"FRITH ROAD, CHERRY GARDENS SA","LOT 10 FRITH ROAD, CHERRY GARDENS, SOUTH AUSTRALIA, 5157",Reviewed street-only,100,-35.08285863779957,138.6592761430271,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
228,BLACKWOOD MAIN-158,BLACKWOOD MAIN,FULLARTON ROAD,MITCHAM,FULLARTON ROAD,MITCHAM,FULLARTON ROAD|MITCHAM,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"FULLARTON ROAD, MITCHAM SA","553 FULLARTON ROAD, MITCHAM, SOUTH AUSTRALIA, 5062",Reviewed street-only,100,-34.97541840139712,138.62688135906663,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
233,BLACKWOOD MAIN-163,BLACKWOOD MAIN,GARNET AVENUE,BLACKWOOD,GARNET AVENUE,BLACKWOOD,GARNET AVENUE|BLACKWOOD,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"GARNET AVENUE, BLACKWOOD SA","49 GARNET AVENUE, BLACKWOOD, SOUTH AUSTRALIA, 5051",Reviewed street-only,100,-35.03033062786706,138.6120109135358,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
235,BLACKWOOD PARK-26,BLACKWOOD PARK,GARTRELL LANE,CRAIGBURN FARM,GARTRELL LANE,CRAIGBURN FARM,GARTRELL LANE|CRAIGBURN FARM,No,Failed,Failed,Secondary-assisted official correction,Reviewed resolution,Active,Yes,High,No,,"1 GARTRELL LANE, CRAIGBURN FARM SA","1 GARTRELL BOULEVARD, CRAIGBURN FARM, SOUTH AUSTRALIA, 5051",Reviewed No. 1,89.24,-35.03874751883815,138.60957902334079,No,"Reviewed spelling, street type or adjoining official locality; selected the lowest numbered matching official SAGAF_PLUS candidate for GARTRELL BOULEVARD, CRAIGBURN FARM.",,
237,BLACKWOOD MAIN-165,BLACKWOOD MAIN,GLADSTONE ROAD,BLACKWOOD,GLADSTONE ROAD,BLACKWOOD,GLADSTONE ROAD|BLACKWOOD,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"GLADSTONE ROAD, BLACKWOOD SA","4 GLADSTONE ROAD, BLACKWOOD, SOUTH AUSTRALIA, 5051",Reviewed street-only,100,-35.022181634389455,138.61532174232005,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
244,BLACKWOOD MAIN-171,BLACKWOOD MAIN,GLENGARRY AVENUE,GLENALTA,GLENGARRY AVENUE,GLENALTA,GLENGARRY AVENUE|GLENALTA,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"GLENGARRY AVENUE, GLENALTA SA","14 GLENGARRY AVENUE, GLENALTA, SOUTH AUSTRALIA, 5052",Reviewed street-only,100,-35.008908612160006,138.62489383005274,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
246,BLACKWOOD MAIN-173,BLACKWOOD MAIN,GLENGYLE AVENUE,BLACKWOOD,GLENGYLE AVENUE,BLACKWOOD,GLENGYLE AVENUE|BLACKWOOD,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"GLENGYLE AVENUE, BLACKWOOD SA","26A GLENGYLE AVENUE, BLACKWOOD, SOUTH AUSTRALIA, 5051",Reviewed street-only,100,-35.01347496585068,138.61379600739193,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
263,CORO STREETS-39,CORO STREETS,GRASSMERE CLOSE,COROMANDLE VALLEY,GRASSMERE CLOSE,COROMANDLE VALLEY,GRASSMERE CLOSE|COROMANDLE VALLEY,No,Failed,Failed,Secondary-assisted official correction,Reviewed resolution,Active,Yes,High,No,,"2 GRASSMERE CLOSE, COROMANDLE VALLEY SA","2 GRASSMERE CLOSE, COROMANDEL VALLEY, SOUTH AUSTRALIA, 5051",Reviewed No. 2,55,-35.05689979760761,138.61909525462397,No,"Reviewed spelling, street type or adjoining official locality; selected the lowest numbered matching official SAGAF_PLUS candidate for GRASSMERE CLOSE, COROMANDEL VALLEY.",,
277,BLACKWOOD MAIN-194,BLACKWOOD MAIN,HAKEA COURT,COROMANDEL VALLEY,HAKEA COURT,COROMANDEL VALLEY,HAKEA COURT|COROMANDEL VALLEY,Yes,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"HAKEA COURT, COROMANDEL VALLEY SA","3 HAKEA COURT, COROMANDEL VALLEY, SOUTH AUSTRALIA, 5051",Reviewed street-only,100,-35.04065642189444,138.62161591032313,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
278,CORO STREETS-42,CORO STREETS,HAKEA COURT,COROMANDEL VALLEY,HAKEA COURT,COROMANDEL VALLEY,HAKEA COURT|COROMANDEL VALLEY,Yes,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"HAKEA COURT, COROMANDEL VALLEY SA","3 HAKEA COURT, COROMANDEL VALLEY, SOUTH AUSTRALIA, 5051",Reviewed street-only,100,-35.04065642189444,138.62161591032313,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
282,BLACKWOOD MAIN-198,BLACKWOOD MAIN,HAWKER AVENUE,BELAIR,HAWKER AVENUE,BELAIR,HAWKER AVENUE|BELAIR,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"HAWKER AVENUE, BELAIR SA","32 HAWKER AVENUE, BELAIR, SOUTH AUSTRALIA, 5052",Reviewed street-only,100,-35.00543572851749,138.60731399094718,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
283,BLACKWOOD MAIN-199,BLACKWOOD MAIN,HAWTHORNDENE DRIVE,HAWTHORNDENE,HAWTHORNDENE DRIVE,HAWTHORNDENE,HAWTHORNDENE DRIVE|HAWTHORNDENE,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"HAWTHORNDENE DRIVE, HAWTHORNDENE SA","8 HAWTHORNDENE DRIVE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051",Reviewed street-only,100,-35.01740448486227,138.6215732174955,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
284,BLACKWOOD PARK-32,BLACKWOOD PARK,HAYMAN RETREAT,CRAIGBURN FARM,HAYMAN RETREAT,CRAIGBURN FARM,HAYMAN RETREAT|CRAIGBURN FARM,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"HAYMAN RETREAT, CRAIGBURN FARM SA","5 HAYMAN RETREAT, CRAIGBURN FARM, SOUTH AUSTRALIA, 5051",Reviewed street-only,100,-35.03580544935277,138.60469389653693,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
288,BLACKWOOD MAIN-201,BLACKWOOD MAIN,HEWITT AVENUE,HAWTHORNDENE,HEWITT AVENUE,HAWTHORNDENE,HEWITT AVENUE|HAWTHORNDENE,No,Failed,Failed,Secondary-assisted official correction,Reviewed resolution,Active,Yes,High,No,,"1 HEWITT AVENUE, HAWTHORNDENE SA","1 HEWETT AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051",Reviewed No. 1,98.46,-35.02237766562309,138.62192596698395,No,"Reviewed spelling, street type or adjoining official locality; selected the lowest numbered matching official SAGAF_PLUS candidate for HEWETT AVENUE, HAWTHORNDENE.",,
289,CORO EAST & CHERRY-12,CORO EAST & CHERRY,HICKS HILL ROAD,CHERRY GARDENS,HICKS HILL ROAD,CHERRY GARDENS,HICKS HILL ROAD|CHERRY GARDENS,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"HICKS HILL ROAD, CHERRY GARDENS SA","60 HICKS HILL ROAD, CHERRY GARDENS, SOUTH AUSTRALIA, 5157",Reviewed street-only,100,-35.069949927699405,138.6436171253922,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
291,BLACKWOOD PARK-33,BLACKWOOD PARK,HIGHFIELD DRIVE,CRAIGBURN FARM,HIGHFIELD DRIVE,CRAIGBURN FARM,HIGHFIELD DRIVE|CRAIGBURN FARM,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"HIGHFIELD DRIVE, CRAIGBURN FARM SA","45 HIGHFIELD DRIVE, CRAIGBURN FARM, SOUTH AUSTRALIA, 5051",Reviewed street-only,100,-35.037098864143765,138.60603445132514,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
302,BLACKWOOD MAIN-210,BLACKWOOD MAIN,HILLTOP DRIVE,HAWTHORNDENE,HILLTOP DRIVE,HAWTHORNDENE,HILLTOP DRIVE|HAWTHORNDENE,No,Failed,Failed,Secondary-assisted official correction,Reviewed resolution,Active,Yes,High,No,,"2 HILLTOP DRIVE, HAWTHORNDENE SA","2 HILLTOP DRIVE, UPPER STURT, SOUTH AUSTRALIA, 5156",Reviewed No. 2,55,-35.02757018078595,138.670028153784,No,"Reviewed spelling, street type or adjoining official locality; selected the lowest numbered matching official SAGAF_PLUS candidate for HILLTOP DRIVE, UPPER STURT.",,
305,BLACKWOOD PARK-34,BLACKWOOD PARK,HOLLYHOCK COURT,CRAIGBURN FARM,HOLLYHOCK COURT,CRAIGBURN FARM,HOLLYHOCK COURT|CRAIGBURN FARM,No,Failed,Failed,Secondary-assisted official correction,Reviewed resolution,Active,Yes,High,No,,"HOLLYHOCK COURT, CRAIGBURN FARM SA","13 HOLLY HOCK COURT, CRAIGBURN FARM, SOUTH AUSTRALIA, 5051",Reviewed street-only,98.37,-35.04323417925057,138.6110519258947,No,"Reviewed spelling, street type or adjoining official locality; selected the lowest numbered matching official SAGAF_PLUS candidate for HOLLY HOCK COURT, CRAIGBURN FARM.",,
311,BLACKWOOD MAIN-217,BLACKWOOD MAIN,HUNTINGDON DRIVE,GLENALTA,HUNTINGDON DRIVE,GLENALTA,HUNTINGDON DRIVE|GLENALTA,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"HUNTINGDON DRIVE, GLENALTA SA","3 HUNTINGDON DRIVE, GLENALTA, SOUTH AUSTRALIA, 5052",Reviewed street-only,100,-35.0157063776425,138.62123309796854,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
317,CORO EAST & CHERRY-13,CORO EAST & CHERRY,JACOBS ROAD,CHERRY GARDENS,JACOBS ROAD,CHERRY GARDENS,JACOBS ROAD|CHERRY GARDENS,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"JACOBS ROAD, CHERRY GARDENS SA","20 JACOBS ROAD, CHERRY GARDENS, SOUTH AUSTRALIA, 5157",Reviewed street-only,100,-35.06511887847727,138.65530499850854,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
325,BLACKWOOD MAIN-226,BLACKWOOD MAIN,JOHNSON PARADE,BLACKWOOD,JOHNSON PARADE,BLACKWOOD,JOHNSON PARADE|BLACKWOOD,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"1 JOHNSON PARADE, BLACKWOOD SA","1 JOHNSON PARADE, BLACKWOOD, SOUTH AUSTRALIA, 5051",Reviewed No. 1,100,-35.02525729684803,138.61821044577093,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
332,BLACKWOOD MAIN-232,BLACKWOOD MAIN,KENT AVENUE,GLENALTA,KENT AVENUE,GLENALTA,KENT AVENUE|GLENALTA,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"KENT AVENUE, GLENALTA SA","3 KENT AVENUE, GLENALTA, SOUTH AUSTRALIA, 5052",Reviewed street-only,100,-35.01564678557057,138.6250818563812,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
337,BLACKWOOD MAIN-235,BLACKWOOD MAIN,KINNANE CRESCENT,PASADENA,KINNANE CRESCENT,PASADENA,KINNANE CRESCENT|PASADENA,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"KINNANE CRESCENT, PASADENA SA","4 KINNANE CRESCENT, PASADENA, SOUTH AUSTRALIA, 5042",Reviewed street-only,100,-35.01048593425487,138.59102329734984,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
343,BLACKWOOD MAIN-240,BLACKWOOD MAIN,KROWALLE COURT,HAWTHORNDENE,KROWALLE COURT,HAWTHORNDENE,KROWALLE COURT|HAWTHORNDENE,No,Failed,Failed,Secondary-assisted official correction,Reviewed resolution,Active,Yes,High,No,,"1 KROWALLE COURT, HAWTHORNDENE SA","1 KROWALLE CRESCENT, HAWTHORNDENE, SOUTH AUSTRALIA, 5051",Reviewed No. 1,89.24,-35.029223104763126,138.6323602719484,No,"Reviewed spelling, street type or adjoining official locality; selected the lowest numbered matching official SAGAF_PLUS candidate for KROWALLE CRESCENT, HAWTHORNDENE.",,
345,CORO EAST & CHERRY-15,CORO EAST & CHERRY,LAFFERTY ROAD,CHANDLERS HILL,LAFFERTY ROAD,CHANDLERS HILL,LAFFERTY ROAD|CHANDLERS HILL,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"1 LAFFERTY ROAD, CHANDLERS HILL SA","1 LAFFERTY ROAD, CHANDLERS HILL, SOUTH AUSTRALIA, 5159",Reviewed No. 1,100,-35.09569939514907,138.6259278859158,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
346,CORO EAST & CHERRY-14,CORO EAST & CHERRY,LAFFERTY ROAD,CHERRY GARDENS,LAFFERTY ROAD,CHERRY GARDENS,LAFFERTY ROAD|CHERRY GARDENS,No,Failed,Failed,Secondary-assisted official correction,Reviewed resolution,Active,Yes,High,No,,"1 LAFFERTY ROAD, CHERRY GARDENS SA","1 LAFFERTY ROAD, CHANDLERS HILL, SOUTH AUSTRALIA, 5159",Reviewed No. 1,55,-35.09569939514907,138.6259278859158,No,"Reviewed spelling, street type or adjoining official locality; selected the lowest numbered matching official SAGAF_PLUS candidate for LAFFERTY ROAD, CHANDLERS HILL.",,
353,CORO EAST & CHERRY-16,CORO EAST & CHERRY,LEWIS STREET,CHERRY GARDENS,LEWIS STREET,CHERRY GARDENS,LEWIS STREET|CHERRY GARDENS,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"1 LEWIS STREET, CHERRY GARDENS SA","1 LEWIS STREET, CHERRY GARDENS, SOUTH AUSTRALIA, 5157",Reviewed No. 1,100,-35.07379032543326,138.64364345263593,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
356,BLACKWOOD MAIN-247,BLACKWOOD MAIN,LIND AVENUE,BELAIR,LIND AVENUE,BELAIR,LIND AVENUE|BELAIR,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"LIND AVENUE, BELAIR SA","10 LIND AVENUE, BELAIR, SOUTH AUSTRALIA, 5052",Reviewed street-only,100,-35.0089666032509,138.60133414888767,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
362,BLACKWOOD MAIN-253,BLACKWOOD MAIN,LONGVIEW AVENUE,BELAIR,LONGVIEW AVENUE,BELAIR,LONGVIEW AVENUE|BELAIR,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"LONGVIEW AVENUE, BELAIR SA","36 LONGVIEW AVENUE, BELAIR, SOUTH AUSTRALIA, 5052",Reviewed street-only,100,-35.00711693649298,138.616496150854,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
368,CORO EAST & CHERRY-17,CORO EAST & CHERRY,MAHAR ROAD,CHERRY GARDENS,MAHAR ROAD,CHERRY GARDENS,MAHAR ROAD|CHERRY GARDENS,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"MAHAR ROAD, CHERRY GARDENS SA","24 MAHAR ROAD, CHERRY GARDENS, SOUTH AUSTRALIA, 5157",Reviewed street-only,100,-35.07189814373446,138.6625837698493,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
372,BLACKWOOD PARK-38,BLACKWOOD PARK,MALBEC STREET,CRAIGBURN FARM,MALBEC STREET,CRAIGBURN FARM,MALBEC STREET|CRAIGBURN FARM,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"MALBEC STREET, CRAIGBURN FARM SA","6 MALBEC STREET, CRAIGBURN FARM, SOUTH AUSTRALIA, 5051",Reviewed street-only,100,-35.03946813819154,138.6140875638274,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
373,BLACKWOOD MAIN-260,BLACKWOOD MAIN,MALCOLM STREET,BEDFORD PARK,MALCOLM STREET,BEDFORD PARK,MALCOLM STREET|BEDFORD PARK,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"MALCOLM STREET, BEDFORD PARK SA","14 MALCOLM STREET, BEDFORD PARK, SOUTH AUSTRALIA, 5042",Reviewed street-only,100,-35.02535887020048,138.56478143928763,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
