Entry number,Entry ID,Source,Street field,Authoritative locality field(s),Lookup street,Lookup locality,Lookup key,Duplicate lookup reused,Original collector category,Original collector status,Review category,Status,Hydrants pill,Reviewed resolution,Resolution confidence,Approximate vicinity anchor,Anchor key,Query attempted,Matched official address,Method used,Score,Latitude,Longitude,Manual override,Notes / unresolved reason,Secondary evidence,Fallback address when grey
176,CORO STREETS-31,CORO STREETS,DIOSMA DRIVE,CORMANDEL VALLEY,DIOSMA DRIVE,CORMANDEL VALLEY,DIOSMA DRIVE|CORMANDEL VALLEY,No,Failed,Failed,Secondary-assisted official correction,Reviewed resolution,Active,Yes,High,No,,"1 DIOSMA DRIVE, CORMANDEL VALLEY SA","1 DIOSMA DRIVE, COROMANDEL VALLEY, SOUTH AUSTRALIA, 5051",Reviewed No. 1,55,-35.039474008455336,138.61961201572532,No,"Reviewed spelling, street type or adjoining official locality; selected the lowest numbered matching official SAGAF_PLUS candidate for DIOSMA DRIVE, COROMANDEL VALLEY.",,
177,BLACKWOOD MAIN-120,BLACKWOOD MAIN,DIOSMA DRIVE,COROMANDEL VALLEY,DIOSMA DRIVE,COROMANDEL VALLEY,DIOSMA DRIVE|COROMANDEL VALLEY,No,Accepted,Accepted,Accepted,Accepted,Active,No,,No,,"1 DIOSMA DRIVE, COROMANDEL VALLEY SA","1 DIOSMA DRIVE, COROMANDEL VALLEY, SOUTH AUSTRALIA, 5051",No. 1,100,-35.039474008455336,138.61961201572532,No,,,
178,BLACKWOOD MAIN-121,BLACKWOOD MAIN,DONNYBROOK ROAD,BELLEVUE HEIGHTS,DONNYBROOK ROAD,BELLEVUE HEIGHTS,DONNYBROOK ROAD|BELLEVUE HEIGHTS,No,Accepted,Accepted,Accepted,Accepted,Active,No,,No,,"1 DONNYBROOK ROAD, BELLEVUE HEIGHTS SA","1 DONNYBROOK ROAD, BELLEVUE HEIGHTS, SOUTH AUSTRALIA, 5050",No. 1,100,-35.02007367602425,138.57921961993853,No,,,
179,BLACKWOOD MAIN-122,BLACKWOOD MAIN,DORHAM ROAD,BLACKWOOD,DORHAM ROAD,BLACKWOOD,DORHAM ROAD|BLACKWOOD,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"DORHAM ROAD, BLACKWOOD SA","10 DORHAM ROAD, BLACKWOOD, SOUTH AUSTRALIA, 5051",Reviewed street-only,100,-35.02644593632452,138.62287019002213,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
180,BLACKWOOD PARK-20,BLACKWOOD PARK,DOROTHY LANE,CRAIGBURN FARM,DOROTHY LANE,CRAIGBURN FARM,DOROTHY LANE|CRAIGBURN FARM,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"DOROTHY LANE, CRAIGBURN FARM SA","6 DOROTHY LANE, CRAIGBURN FARM, SOUTH AUSTRALIA, 5051",Reviewed street-only,100,-35.04727309863299,138.6089114142484,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
181,CORO EAST & CHERRY-8,CORO EAST & CHERRY,DORSET VALE ROAD,CHERRY GARDENS · DORSET VALE,,,,No,Ambiguous,Ambiguous authoritative locality fields,Reviewed multi-locality vicinity anchor,Reviewed resolution,Active,Yes,Moderate,Yes,CHERRY GARDENS ROAD|CHERRY GARDENS,"CHERRY GARDENS ROAD, CHERRY GARDENS SA","11 CHERRY GARDENS ROAD, CHERRY GARDENS, SOUTH AUSTRALIA, 5157",Reviewed Directions route vicinity anchor,100,-35.07102578695614,138.62775175909036,No,The Directions entry spans multiple locality fields. A reviewed official approach point (CHERRY GARDENS ROAD|CHERRY GARDENS) was selected without merging it with other same-name street records.,,
182,BLACKWOOD MAIN-123,BLACKWOOD MAIN,DOUGLAS STREET,EDEN HILLS,DOUGLAS STREET,EDEN HILLS,DOUGLAS STREET|EDEN HILLS,No,Accepted,Accepted,Accepted,Accepted,Active,No,,No,,"1 DOUGLAS STREET, EDEN HILLS SA","1 DOUGLAS STREET, EDEN HILLS, SOUTH AUSTRALIA, 5050",No. 1,100,-35.024548062248705,138.60336045722,No,,,
183,BLACKWOOD MAIN-124,BLACKWOOD MAIN,DOWNER AVENUE,BELAIR,DOWNER AVENUE,BELAIR,DOWNER AVENUE|BELAIR,No,Accepted,Accepted,Accepted,Accepted,Active,No,,No,,"1 DOWNER AVENUE, BELAIR SA","1 DOWNER AVENUE, BELAIR, SOUTH AUSTRALIA, 5052",No. 1,100,-35.00163499953601,138.6229705181671,No,,,
184,CORO STREETS-32,CORO STREETS,DRISCOLL ROAD,CORMANDEL VALLEY/EAST,DRISCOLL ROAD,CORMANDEL VALLEY/EAST,DRISCOLL ROAD|CORMANDEL VALLEY EAST,No,Failed,Failed,Secondary-assisted official correction,Reviewed resolution,Active,Yes,High,No,,"2 DRISCOLL ROAD, CORMANDEL VALLEY/EAST SA","2 DRISCOLL ROAD, COROMANDEL VALLEY, SOUTH AUSTRALIA, 5051",Reviewed No. 2,55,-35.03853974707693,138.6294384815561,No,"Reviewed spelling, street type or adjoining official locality; selected the lowest numbered matching official SAGAF_PLUS candidate for DRISCOLL ROAD, COROMANDEL VALLEY.",,
185,BLACKWOOD MAIN-125,BLACKWOOD MAIN,DRYANDRA DRIVE,BELAIR,DRYANDRA DRIVE,BELAIR,DRYANDRA DRIVE|BELAIR,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"DRYANDRA DRIVE, BELAIR SA","3 DRYANDRA DRIVE, BELAIR, SOUTH AUSTRALIA, 5052",Reviewed street-only,100,-35.01090129989056,138.60607838936028,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
186,CORO STREETS-33,CORO STREETS,DUNALBYN DRIVE,ABERFOYLE PARK,DUNALBYN DRIVE,ABERFOYLE PARK,DUNALBYN DRIVE|ABERFOYLE PARK,No,Accepted,Accepted,Accepted,Accepted,Active,No,,No,,"1 DUNALBYN DRIVE, ABERFOYLE PARK SA","1 DUNALBYN DRIVE, ABERFOYLE PARK, SOUTH AUSTRALIA, 5159",No. 1,100,-35.060060845721495,138.61400057719106,No,,,
187,BLACKWOOD MAIN-126,BLACKWOOD MAIN,DUNN AVENUE,GLENALTA,DUNN AVENUE,GLENALTA,DUNN AVENUE|GLENALTA,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"DUNN AVENUE, GLENALTA SA","13 DUNN AVENUE, GLENALTA, SOUTH AUSTRALIA, 5052",Reviewed street-only,100,-35.00837174985231,138.6261838649949,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
188,BLACKWOOD PARK-21,BLACKWOOD PARK,DUNSFORD STREET,CRAIGBURN FARM,DUNSFORD STREET,CRAIGBURN FARM,DUNSFORD STREET|CRAIGBURN FARM,No,Accepted,Accepted,Accepted,Accepted,Active,No,,No,,"1 DUNSFORD STREET, CRAIGBURN FARM SA","1 DUNSFORD STREET, CRAIGBURN FARM, SOUTH AUSTRALIA, 5051",No. 1,100,-35.03460809342398,138.61103484876364,No,,,
189,BLACKWOOD MAIN-127,BLACKWOOD MAIN,EAGLE ROAD,EAGLE ON THE HILL · LEAWOOD GARDENS,,,,No,Ambiguous,Ambiguous authoritative locality fields,Reviewed multi-locality vicinity anchor,Reviewed resolution,Active,Yes,Moderate,Yes,JAMES ROAD|BELAIR,"2 JAMES ROAD, BELAIR SA","2 JAMES ROAD, BELAIR, SOUTH AUSTRALIA, 5052",Reviewed Directions route vicinity anchor,100,-34.99664545319125,138.6307084152919,No,The Directions entry spans multiple locality fields. A reviewed official approach point (JAMES ROAD|BELAIR) was selected without merging it with other same-name street records.,,
190,BLACKWOOD PARK-22,BLACKWOOD PARK,EARLS COURT,CRAIGBURN FARM,EARLS COURT,CRAIGBURN FARM,EARLS COURT|CRAIGBURN FARM,No,Accepted,Accepted,Accepted,Accepted,Active,No,,No,,"1 EARLS COURT, CRAIGBURN FARM SA","1 EARLS COURT, CRAIGBURN FARM, SOUTH AUSTRALIA, 5051",No. 1,100,-35.0366735368483,138.61411620359928,No,,,
191,BLACKWOOD MAIN-128,BLACKWOOD MAIN,EAST TERRACE,HAWTHORNDENE,EAST TERRACE,HAWTHORNDENE,EAST TERRACE|HAWTHORNDENE,No,Accepted,Accepted,Accepted,Accepted,Active,No,,No,,"1 EAST TERRACE, HAWTHORNDENE SA","1 EAST TERRACE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051",No. 1,100,-35.02312461222017,138.6205388058589,No,,,
192,BLACKWOOD MAIN-129,BLACKWOOD MAIN,EDEN AVENUE,BELLEVUE HEIGHTS,EDEN AVENUE,BELLEVUE HEIGHTS,EDEN AVENUE|BELLEVUE HEIGHTS,No,Accepted,Accepted,Accepted,Accepted,Active,No,,No,,"1 EDEN AVENUE, BELLEVUE HEIGHTS SA","1 EDEN AVENUE, BELLEVUE HEIGHTS, SOUTH AUSTRALIA, 5050",No. 1,100,-35.02858039982021,138.5903475054655,No,,,
193,BLACKWOOD MAIN-130,BLACKWOOD MAIN,EDEN ROAD,EDEN HILLS,EDEN ROAD,EDEN HILLS,EDEN ROAD|EDEN HILLS,No,Failed,Failed,Reviewed vicinity anchor,Reviewed resolution,Active,Yes,Moderate,Yes,MOUNTAIN ROAD|EDEN HILLS,"1 MOUNTAIN ROAD, EDEN HILLS SA","1 MOUNTAIN ROAD, EDEN HILLS, SOUTH AUSTRALIA, 5050",Reviewed Directions route vicinity anchor,100,-35.02084944028001,138.6056550188194,No,Directions place Eden Road as the second right from Mountain Road.,,
194,BLACKWOOD MAIN-131,BLACKWOOD MAIN,EDGAR STREET,BEDFORD PARK,EDGAR STREET,BEDFORD PARK,EDGAR STREET|BEDFORD PARK,No,Accepted,Accepted,Accepted,Accepted,Active,No,,No,,"1 EDGAR STREET, BEDFORD PARK SA","1 EDGAR STREET, BEDFORD PARK, SOUTH AUSTRALIA, 5042",No. 1,100,-35.02741239521044,138.56728181589366,No,,,
195,BLACKWOOD MAIN-132,BLACKWOOD MAIN,EDGECUMBE PARADE,BLACKWOOD · HAWTHORNDENE,,,,No,Ambiguous,Ambiguous authoritative locality fields,Reviewed multi-locality vicinity anchor,Reviewed resolution,Active,Yes,Moderate,Yes,HEWITT AVENUE|HAWTHORNDENE,"1 HEWITT AVENUE, HAWTHORNDENE SA","1 HEWETT AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051",Reviewed Directions route vicinity anchor,98.46,-35.02237766562309,138.62192596698395,No,The Directions entry spans multiple locality fields. A reviewed official approach point (HEWITT AVENUE|HAWTHORNDENE) was selected without merging it with other same-name street records.,,
196,CORO EAST & CHERRY-9,CORO EAST & CHERRY,EDIALTA ROAD,CHERRY GARDENS,EDIALTA ROAD,CHERRY GARDENS,EDIALTA ROAD|CHERRY GARDENS,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"EDIALTA ROAD, CHERRY GARDENS SA","76 EDIALTA ROAD, CHERRY GARDENS, SOUTH AUSTRALIA, 5157",Reviewed street-only,100,-35.054681905211226,138.6719712111024,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
197,BLACKWOOD MAIN-133,BLACKWOOD MAIN,EDWARD STREET,BLACKWOOD,EDWARD STREET,BLACKWOOD,EDWARD STREET|BLACKWOOD,No,Accepted,Accepted,Accepted,Accepted,Active,No,,No,,"2 EDWARD STREET, BLACKWOOD SA","2 EDWARD STREET, BLACKWOOD, SOUTH AUSTRALIA, 5051",No. 2,100,-35.018078675765544,138.61575774282244,No,,,
198,BLACKWOOD MAIN-134,BLACKWOOD MAIN,ELIZABETH AVENUE,GLENALTA,ELIZABETH AVENUE,GLENALTA,ELIZABETH AVENUE|GLENALTA,No,Accepted,Accepted,Accepted,Accepted,Active,No,,No,,"2 ELIZABETH AVENUE, GLENALTA SA","2 ELIZABETH AVENUE, GLENALTA, SOUTH AUSTRALIA, 5052",No. 2,100,-35.01440709258771,138.63332388464582,No,,,
199,BLACKWOOD MAIN-135,BLACKWOOD MAIN,ELLIOTT AVENUE,BELAIR,ELLIOTT AVENUE,BELAIR,ELLIOTT AVENUE|BELAIR,No,Accepted,Accepted,Accepted,Accepted,Active,No,,No,,"1 ELLIOTT AVENUE, BELAIR SA","1 ELLIOTT AVENUE, BELAIR, SOUTH AUSTRALIA, 5052",No. 1,100,-34.99970528372624,138.62278853998927,No,,,
200,BLACKWOOD MAIN-136,BLACKWOOD MAIN,ELLIS AVENUE,EDEN HILLS,ELLIS AVENUE,EDEN HILLS,ELLIS AVENUE|EDEN HILLS,No,Accepted,Accepted,Accepted,Accepted,Active,No,,No,,"1 ELLIS AVENUE, EDEN HILLS SA","1 ELLIS AVENUE, EDEN HILLS, SOUTH AUSTRALIA, 5050",No. 1,100,-35.01996480931377,138.59360905961117,No,,,
201,BLACKWOOD MAIN-137,BLACKWOOD MAIN,ELLISON AVENUE,EDEN HILLS,ELLISON AVENUE,EDEN HILLS,ELLISON AVENUE|EDEN HILLS,No,Accepted,Accepted,Accepted,Accepted,Active,No,,No,,"1 ELLISON AVENUE, EDEN HILLS SA","1 ELLISON AVENUE, EDEN HILLS, SOUTH AUSTRALIA, 5050",No. 1,100,-35.020808348433405,138.5830377818247,No,,,
202,BLACKWOOD MAIN-138,BLACKWOOD MAIN,ELM STREET,HAWTHORNDENE,ELM STREET,HAWTHORNDENE,ELM STREET|HAWTHORNDENE,No,Accepted,Accepted,Accepted,Accepted,Active,No,,No,,"1 ELM STREET, HAWTHORNDENE SA","1 ELM STREET, HAWTHORNDENE, SOUTH AUSTRALIA, 5051",No. 1,100,-35.01998615572759,138.62026414866767,No,,,
203,BLACKWOOD MAIN-139,BLACKWOOD MAIN,EMMETT ROAD,BROWNHILL CREEK · CRAFERS WEST,,,,No,Ambiguous,Ambiguous authoritative locality fields,Reviewed multi-locality vicinity anchor,Reviewed resolution,Active,Yes,Moderate,Yes,UPPER STURT ROAD|BELAIR,"2 UPPER STURT ROAD, BELAIR SA","2 UPPER STURT ROAD, BELAIR, SOUTH AUSTRALIA, 5052",Reviewed Directions route vicinity anchor,100,-34.998930586791175,138.63197212299033,No,The Directions entry spans multiple locality fields. A reviewed official approach point (UPPER STURT ROAD|BELAIR) was selected without merging it with other same-name street records.,,
204,BLACKWOOD MAIN-140,BLACKWOOD MAIN,EMU AVENUE,GLENALTA,EMU AVENUE,GLENALTA,EMU AVENUE|GLENALTA,No,Accepted,Accepted,Accepted,Accepted,Active,No,,No,,"1 EMU AVENUE, GLENALTA SA","1 EMU AVENUE, GLENALTA, SOUTH AUSTRALIA, 5052",No. 1,100,-35.014793818451494,138.6271987090855,No,,,
205,BLACKWOOD MAIN-141,BLACKWOOD MAIN,ERIC STREET,BLACKWOOD,ERIC STREET,BLACKWOOD,ERIC STREET|BLACKWOOD,No,Accepted,Accepted,Accepted,Accepted,Active,No,,No,,"2 ERIC STREET, BLACKWOOD SA","2 ERIC STREET, BLACKWOOD, SOUTH AUSTRALIA, 5051",No. 2,100,-35.01065225839593,138.62080350139033,No,,,
206,BLACKWOOD MAIN-142,BLACKWOOD MAIN,EUGENIA CRESCENT,BLACKWOOD,EUGENIA CRESCENT,BLACKWOOD,EUGENIA CRESCENT|BLACKWOOD,No,Accepted,Accepted,Accepted,Accepted,Active,No,,No,,"2 EUGENIA CRESCENT, BLACKWOOD SA","2 EUGENIA CRESCENT, BLACKWOOD, SOUTH AUSTRALIA, 5051",No. 2,100,-35.02975836608978,138.61024787764063,No,,,
207,BLACKWOOD MAIN-143,BLACKWOOD MAIN,EURILPA STREET,EDEN HILLS,EURILPA STREET,EDEN HILLS,EURILPA STREET|EDEN HILLS,No,Accepted,Accepted,Accepted,Accepted,Active,No,,No,,"1 EURILPA STREET, EDEN HILLS SA","1 EURILPA STREET, EDEN HILLS, SOUTH AUSTRALIA, 5050",No. 1,100,-35.019248815016724,138.59795679044697,No,,,
208,BLACKWOOD MAIN-144,BLACKWOOD MAIN,EURO AVENUE,EDEN HILLS,EURO AVENUE,EDEN HILLS,EURO AVENUE|EDEN HILLS,No,Accepted,Accepted,Accepted,Accepted,Active,No,,No,,"1 EURO AVENUE, EDEN HILLS SA","1 EURO AVENUE, EDEN HILLS, SOUTH AUSTRALIA, 5050",No. 1,100,-35.02388810228797,138.59213028679346,No,,,
209,BLACKWOOD MAIN-145,BLACKWOOD MAIN,EVE ROAD,BELLEVUE HEIGHTS,EVE ROAD,BELLEVUE HEIGHTS,EVE ROAD|BELLEVUE HEIGHTS,No,Accepted,Accepted,Accepted,Accepted,Active,No,,No,,"2 EVE ROAD, BELLEVUE HEIGHTS SA","2 EVE ROAD, BELLEVUE HEIGHTS, SOUTH AUSTRALIA, 5050",No. 2,100,-35.03199137886262,138.5904778964766,No,,,
210,CORO STREETS-34,CORO STREETS,EWERS AVENUE,CORMANDEL VALLEY,EWERS AVENUE,CORMANDEL VALLEY,EWERS AVENUE|CORMANDEL VALLEY,No,Failed,Failed,Secondary-assisted official correction,Reviewed resolution,Active,Yes,High,No,,"2 EWERS AVENUE, CORMANDEL VALLEY SA","2 EWERS AVENUE, COROMANDEL VALLEY, SOUTH AUSTRALIA, 5051",Reviewed No. 2,55,-35.036922578342924,138.62063041755155,No,"Reviewed spelling, street type or adjoining official locality; selected the lowest numbered matching official SAGAF_PLUS candidate for EWERS AVENUE, COROMANDEL VALLEY.",,
211,BLACKWOOD MAIN-146,BLACKWOOD MAIN,EWERS AVENUE,COROMANDEL VALLEY,EWERS AVENUE,COROMANDEL VALLEY,EWERS AVENUE|COROMANDEL VALLEY,No,Accepted,Accepted,Accepted,Accepted,Active,No,,No,,"2 EWERS AVENUE, COROMANDEL VALLEY SA","2 EWERS AVENUE, COROMANDEL VALLEY, SOUTH AUSTRALIA, 5051",No. 2,100,-35.036922578342924,138.62063041755155,No,,,
212,BLACKWOOD MAIN-147,BLACKWOOD MAIN,FAIRWAY DRIVE,HAWTHORNDENE,FAIRWAY DRIVE,HAWTHORNDENE,FAIRWAY DRIVE|HAWTHORNDENE,No,Accepted,Accepted,Accepted,Accepted,Active,No,,No,,"1 FAIRWAY DRIVE, HAWTHORNDENE SA","1 FAIRWAY DRIVE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051",No. 1,100,-35.01767594009139,138.63865764191354,No,,,
213,BLACKWOOD MAIN-148,BLACKWOOD MAIN,FEDERATION COURT,BELLEVUE HEIGHTS,FEDERATION COURT,BELLEVUE HEIGHTS,FEDERATION COURT|BELLEVUE HEIGHTS,No,Accepted,Accepted,Accepted,Accepted,Active,No,,No,,"1 FEDERATION COURT, BELLEVUE HEIGHTS SA","1 FEDERATION COURT, BELLEVUE HEIGHTS, SOUTH AUSTRALIA, 5050",No. 1,100,-35.03414523201754,138.5792708513317,No,,,
214,BLACKWOOD PARK-23,BLACKWOOD PARK,FERGUSSON AVENUE,CRAIGBURN FARM,FERGUSSON AVENUE,CRAIGBURN FARM,FERGUSSON AVENUE|CRAIGBURN FARM,No,Accepted,Accepted,Accepted,Accepted,Active,No,,No,,"1 FERGUSSON AVENUE, CRAIGBURN FARM SA","1 FERGUSSON AVENUE, CRAIGBURN FARM, SOUTH AUSTRALIA, 5051",No. 1,100,-35.04115859627967,138.61688216517067,No,,,
215,BLACKWOOD MAIN-149,BLACKWOOD MAIN,FERN ROAD,BLACKWOOD,FERN ROAD,BLACKWOOD,FERN ROAD|BLACKWOOD,No,Accepted,Accepted,Accepted,Accepted,Active,No,,No,,"2 FERN ROAD, BLACKWOOD SA","2 FERN ROAD, BLACKWOOD, SOUTH AUSTRALIA, 5051",No. 2,100,-35.0239790024335,138.61461588756958,No,,,
216,BLACKWOOD MAIN-150,BLACKWOOD MAIN,FIRST ROAD,BELAIR,FIRST ROAD,BELAIR,FIRST ROAD|BELAIR,No,Accepted,Accepted,Accepted,Accepted,Active,No,,No,,"1 FIRST ROAD, BELAIR SA","1 FIRST ROAD, BELAIR, SOUTH AUSTRALIA, 5052",No. 1,100,-34.99635816603851,138.63700916510592,No,,,
217,BLACKWOOD PARK-24,BLACKWOOD PARK,FISHER CRESCENT,CRAIGBURN FARM,FISHER CRESCENT,CRAIGBURN FARM,FISHER CRESCENT|CRAIGBURN FARM,No,Accepted,Accepted,Accepted,Accepted,Active,No,,No,,"1 FISHER CRESCENT, CRAIGBURN FARM SA","1 FISHER CRESCENT, CRAIGBURN FARM, SOUTH AUSTRALIA, 5051",No. 1,100,-35.03909457594959,138.6104561830622,No,,,
218,BLACKWOOD MAIN-151,BLACKWOOD MAIN,FIVEASH DRIVE,PASADENA,FIVEASH DRIVE,PASADENA,FIVEASH DRIVE|PASADENA,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"FIVEASH DRIVE, PASADENA SA","65 FIVEASH DRIVE, PASADENA, SOUTH AUSTRALIA, 5042",Reviewed street-only,100,-35.00737736274164,138.58763348683442,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
219,CORO STREETS-35,CORO STREETS,FLAMINGO CRESCENT,CORMANDEL VALLEY,FLAMINGO CRESCENT,CORMANDEL VALLEY,FLAMINGO CRESCENT|CORMANDEL VALLEY,No,Failed,Failed,Reviewed vicinity anchor,Reviewed resolution,Active,Yes,Moderate,Yes,CRANE AVENUE|CORMANDEL VALLEY,"2 CRANE AVENUE, CORMANDEL VALLEY SA","2 CRANE AVENUE, COROMANDEL VALLEY, SOUTH AUSTRALIA, 5051",Reviewed Directions route vicinity anchor,55,-35.043344291168545,138.62598854530842,No,Directions place Flamingo Crescent as the third right from Crane Avenue.,,
220,BLACKWOOD MAIN-152,BLACKWOOD MAIN,FLINDERS ROAD,BELLEVUE HEIGHTS,FLINDERS ROAD,BELLEVUE HEIGHTS,FLINDERS ROAD|BELLEVUE HEIGHTS,No,Accepted,Accepted,Accepted,Accepted,Active,No,,No,,"1 FLINDERS ROAD, BELLEVUE HEIGHTS SA","1 FLINDERS ROAD, BELLEVUE HEIGHTS, SOUTH AUSTRALIA, 5050",No. 1,100,-35.032540871131815,138.58195196090813,No,,,
221,BLACKWOOD MAIN-153,BLACKWOOD MAIN,FOOTS HILL ROAD,HAWTHORNDENE,FOOTS HILL ROAD,HAWTHORNDENE,FOOTS HILL ROAD|HAWTHORNDENE,No,Failed,Failed,Secondary-assisted official correction,Reviewed resolution,Active,Yes,High,No,,"1 FOOTS HILL ROAD, HAWTHORNDENE SA","1 FOOTTS HILL ROAD, HAWTHORNDENE, SOUTH AUSTRALIA, 5051",Reviewed No. 1,99.1,-35.018514498381144,138.6477864357858,No,"Reviewed spelling, street type or adjoining official locality; selected the lowest numbered matching official SAGAF_PLUS candidate for FOOTTS HILL ROAD, HAWTHORNDENE.",,
222,CORO EAST & CHERRY-10,CORO EAST & CHERRY,FOOTT LANE,COROMANDEL EAST,FOOTT LANE,COROMANDEL EAST,FOOTT LANE|COROMANDEL EAST,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"FOOTT LANE, COROMANDEL EAST SA","6 FOOTT LANE, COROMANDEL EAST, SOUTH AUSTRALIA, 5157",Reviewed street-only,100,-35.049297272323926,138.64218104540214,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
223,BLACKWOOD MAIN-154,BLACKWOOD MAIN,FORD AVENUE,TORRENS PARK,FORD AVENUE,TORRENS PARK,FORD AVENUE|TORRENS PARK,No,Accepted,Accepted,Accepted,Accepted,Active,No,,No,,"1 FORD AVENUE, TORRENS PARK SA","1 FORD AVENUE, TORRENS PARK, SOUTH AUSTRALIA, 5062",No. 1,100,-34.98590055790576,138.6163929765205,No,,,
224,BLACKWOOD MAIN-155,BLACKWOOD MAIN,FOREST AVENUE,HAWTHORNDENE,FOREST AVENUE,HAWTHORNDENE,FOREST AVENUE|HAWTHORNDENE,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"FOREST AVENUE, HAWTHORNDENE SA","3 FOREST AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051",Reviewed street-only,100,-35.01920380966091,138.62410543583547,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
225,BLACKWOOD MAIN-156,BLACKWOOD MAIN,FOURTH ROAD,BELAIR,FOURTH ROAD,BELAIR,FOURTH ROAD|BELAIR,No,Accepted,Accepted,Accepted,Accepted,Active,No,,No,,"1 FOURTH ROAD, BELAIR SA","1 FOURTH ROAD, BELAIR, SOUTH AUSTRALIA, 5052",No. 1,100,-34.99571884094446,138.6357689384627,No,,,
226,BLACKWOOD MAIN-157,BLACKWOOD MAIN,FRANCIS STREET,BELAIR,FRANCIS STREET,BELAIR,FRANCIS STREET|BELAIR,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"FRANCIS STREET, BELAIR SA","LOT 1 FRANCIS STREET, BELAIR, SOUTH AUSTRALIA, 5052",Reviewed street-only,100,-34.994556350824915,138.63467671362196,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
227,CORO EAST & CHERRY-11,CORO EAST & CHERRY,FRITH ROAD,CHERRY GARDENS,FRITH ROAD,CHERRY GARDENS,FRITH ROAD|CHERRY GARDENS,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"FRITH ROAD, CHERRY GARDENS SA","LOT 10 FRITH ROAD, CHERRY GARDENS, SOUTH AUSTRALIA, 5157",Reviewed street-only,100,-35.08285863779957,138.6592761430271,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
228,BLACKWOOD MAIN-158,BLACKWOOD MAIN,FULLARTON ROAD,MITCHAM,FULLARTON ROAD,MITCHAM,FULLARTON ROAD|MITCHAM,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"FULLARTON ROAD, MITCHAM SA","553 FULLARTON ROAD, MITCHAM, SOUTH AUSTRALIA, 5062",Reviewed street-only,100,-34.97541840139712,138.62688135906663,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
229,BLACKWOOD MAIN-159,BLACKWOOD MAIN,FURNESS COURT,BLACKWOOD,FURNESS COURT,BLACKWOOD,FURNESS COURT|BLACKWOOD,No,Accepted,Accepted,Accepted,Accepted,Active,No,,No,,"1 FURNESS COURT, BLACKWOOD SA","1 FURNESS COURT, BLACKWOOD, SOUTH AUSTRALIA, 5051",No. 1,100,-35.03053252936448,138.62248737766754,No,,,
230,BLACKWOOD MAIN-160,BLACKWOOD MAIN,FYFFE ROAD,HAWTHORNDENE,FYFFE ROAD,HAWTHORNDENE,FYFFE ROAD|HAWTHORNDENE,No,Accepted,Accepted,Accepted,Accepted,Active,No,,No,,"2 FYFFE ROAD, HAWTHORNDENE SA","2 FYFFE ROAD, HAWTHORNDENE, SOUTH AUSTRALIA, 5051",No. 2,100,-35.02208308511231,138.63752681564117,No,,,
231,BLACKWOOD MAIN-161,BLACKWOOD MAIN,GAMBLE CRESCENT,HAWTHORNDENE,GAMBLE CRESCENT,HAWTHORNDENE,GAMBLE CRESCENT|HAWTHORNDENE,No,Accepted,Accepted,Accepted,Accepted,Active,No,,No,,"1 GAMBLE CRESCENT, HAWTHORNDENE SA","1 GAMBLE CRESCENT, HAWTHORNDENE, SOUTH AUSTRALIA, 5051",No. 1,100,-35.0249406583763,138.6321708225257,No,,,
